qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
SemSearch_ES-125,nokia e,0.5202,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-127,palm tungsten e  handheld,0.4251,7,relevancefeedback.topn10.qld,0.6697,palm tungsten e  handheld soni zire,rm3.topn10.10.0.5.qld,0.6667,digit e  system palm os inc soni treo handheld tungsten zire,tagmee.topn3.replace,0.5725,The Five Great Epics of Tamil Literature Tamil literature,tagmee.topn3,0.5689,palm tungsten e  handheld Palm Tungsten Palm Tungsten Handheld game console,conceptluster.topn5.3.qld,0.5568,palm tungsten e  handheld handheld game console palm tungsten,onfields.topn3.10.1.1.qld,0.503,"{'e2': 2, 'handheld': 2, 'tungsten': 2, 'palm': 2, 'os': 1.286, 'tx': 1.272, 'treo': 1.129, 'pda': 1.095, 't5': 1.082, 'nonvolatil': 1.075, 'releas': 1.054, 'tungstentungsten': 1.054}",adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.4469,"{'handheld': 2, 'e2': 2, 'tungsten': 2, 'palm': 2, 'technolog': 2.0, 'devic': 1.824, 'teacher': 1.647, 'wsdot': 1.529, 'webflow': 1.235, 'pockethandheld': 1.176, 'neirtec': 1.176, 'exploravis': 1.176, 'nihhug': 1.118}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-128,philadelphia neufchatel cheese,0.0119,7,tagmee.topn3.replace,0.3346,Greek mythology Mount Olympus,wiki.topn3.replace,0.3003,european mythology ancient greek literature ancient greek religion Greek mythology biosphere reserves of greece visitor attractions in thessaly hera Mount Olympus,wiki.topn3,0.125,philadelphia neufchatel cheese populated places on the schuylkill river      establishments in pennsylvania philadelphia  pennsylvania Philadelphia chaourccheese bleu d auvergne saint andré cheese Neufchâtel cheese,tagmee.topn3,0.125,philadelphia neufchatel cheese Philadelphia Neufchâtel cheese,conceptluster.topn5.3.qld,0.125,philadelphia neufchatel cheese philadelphia neufchâtel cheese,bertqe.topn10.qld,0.0556,"{'philadelphia neufchatel cheese': 1.5, 'cheese neufchatel neufchatel cheese upper': 1.0, 'cheese neufatchel neufch tel cheese': 0.9741379310344828, 'neufch tel cheese forgesleseaux united': 0.9568965517241379, 'neufch tel neufchatel cheese neufchatel': 0.9224137931034482, 'neufchatel cheese relatedentitynames upper normandy': 0.8103448275862069}",adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.0172,"{'philadelphia': 2, 'neufchatel': 2, 'chees': 2, 'shall': 1.448, 'item': 1.385, 'cream': 1.277, 'requir': 1.246, 'check': 1.225, 'inspect': 1.19, 'pasteur': 1.162, 'vat': 1.146, 'whey': 1.12}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-129,pizza populous detroit mi,0.3333,5,sensedisambiguation.replace,1.0,pizza populous detroit security service,conceptluster.topn5.3.qld,1.0,pizza populous detroit mi detroit populous company pizza,bertqe.topn10.qld,1.0,"{'pizza populous detroit mi': 1.5, 'pizza developed detroit michigan': 1.0, 'buddys pizza detroit michigan': 1.0, 'howies pizza metro detroit subdivision': 0.75, 'detroit michigan pizza franchises': 0.75, 'hungry howies pizza metro detroit': 0.5}",tagmee.topn3.replace,0.7595,Hijackers in the September    attacks,wiki.topn3.replace,0.6046,nawaf al hazmi majed moqed mohamed atta Hijackers in the September    attacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-130,plymouth police department,0.3486,3,wiki.topn3.replace,0.4246,lower house direct election executiv government  Bicameralism congress of people s deputies of russia federation council  russia  chairman of thstatduma Federal Assembly  Russia,conceptluster.topn5.3.qld,0.375,plymouth police department plymouth montserrat police,tagmee.topn3,0.3571,plymouth police department Plymouth  Montserrat Police Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-131,scpa san diego,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-132,sealy mattress co,0.6465,1,relevancefeedback.topn10.qld,0.7333,sealy mattress co seali michigan tempurped compani american art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-135,spring shoes canada,0.0256,2,tagmee.topn3.replace,0.2712,Kublai Khan,wiki.topn3.replace,0.0723,yuan dynasty emperors yuan dynasty generals zhenjin Kublai Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-136,sri lanka government gazette,0.3106,3,conceptluster.topn5.3.qld,0.4686,sri lanka government gazette royal thai government gazette sri lanka,relevancefeedback.topn10.qld,0.3858,sri lanka government gazette ministri univers gazett polic sign newspap,tagmee.topn3,0.3135,sri lanka government gazette Sri Lanka Sri Lanka Royal Thai Government Gazette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-137,steak express,0.0294,6,rm3.topn10.10.0.5.qld,0.1667,beef adject delmonico express schwartz cut cart steak phrase restaur brother,bertqe.topn10.qld,0.125,"{'steak express': 1.5, 'dinerdelmonicos steak may': 1.0, 'delmonico steak served': 0.41892407478061794, 'steak butchers steak hangar steak': 0.22434185425410147, 'bisporus steak caf de paris': 0.19000381533765742, 'steak delmonico refers': 0.16978252575352926}",glove.topn3,0.0769,steak express grilled,word2vec.topn3,0.0345,steak express porterhouse sirloin,conceptnet.topn3,0.0333,steak express meat fast train,relevancefeedback.topn10.qld,0.0333,steak express airlin restaur phrase cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-139,the big texan steak house,0.4138,2,tagmee.topn3.replace,0.5196,Matt Berry Television program,stem.krovetz,0.51,the big texas steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_ES-141,ventura county court,0.22699999999999998,3,bertqe.topn10.qld,0.4983,"{'ventura county court': 1.5, 'court ventura county': 1.0, 'county courthouse ventura cajpg': 1.0, 'ventura county california superior courts': 0.6666666666666666, 'old county courthouse ventura': 0.3333333333333333, 'ventura county california courthouses': 0.0}",conceptnet.topn3,0.2361,ventura county court county seat usa ventura county judge place,termluster.topn5.3.qld,0.2316,ventura county court california counti court ventura superior justic california counti ventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-1,Apollo astronauts who walked on the Moon,0.8005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-2,Arab states of the Persian Gulf,0.2894,5,wiki.topn3,0.3593,arab states persian gulf ajman index of oman related articles trucial states Arab states of the Persian Gulf seas of the indian ocean arabian peninsula muscat  oman Persian Gulf,sensedisambiguation,0.3155,Arab arabian states state of matter of the Persian Gulf,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.3138,"{'persian': 2, 'the': 2, 'of': 2, 'state': 2, 'ed': 2.0, 'arab': 2, 'gulf': 2, 'london': 1.718, 'press': 1.568, 'middl': 1.426, 'oman': 1.361, 'kuwait': 1.332, 'univers': 1.308, 'westview': 1.189, 'croom': 1.182}",glove.topn3,0.3083,arab states persian gulf syria united u s  persia gulf coast kuwait,tagmee.topn3,0.2997,arab states persian gulf Arab states of the Persian Gulf Persian Gulf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-3,astronauts who landed on the Moon,0.2402,6,bertqe.topn10.qld,0.4069,"{'astronauts who landed on the Moon': 1.5, 'apollo missions also landed astronauts': 1.0, '1969 moon landing apollo 11s': 0.6666666666666666, 'moon apollo astronauts': 0.5714285714285713, 'moon landing as509 apollo 14': 0.380952380952381, 'armstrong buzz aldrin landed': 0.3333333333333333}",relevancefeedback.topn10.qld,0.3079,astronauts who landed on the moon apollo film astronaut doctor,conceptluster.topn5.3.qld,0.3062,astronauts landed moon astronaut,tagmee.topn3,0.2984,astronauts landed moon Astronaut Moon,rm3.topn10.10.0.5.qld,0.2705,nasa lunar apollo land mission pilot astronaut doctor who moon film,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.248,"{'the': 2, 'on': 2, 'who': 2, 'land': 2, 'moon': 2, 'astronaut': 2, 'apollo': 1.831, 'space': 1.416, 'nasa': 1.326, 'mission': 1.315, 'lunar': 1.292, 'flight': 1.247, 'photo': 1.225, 'hoax': 1.124}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-4,Axis powers of World War II,0.3506,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-5,books of the Jewish canon,0.5662,1,bertqe.topn10.qld,0.5884,"{'books of the Jewish canon': 1.5, 'books jewish canon': 1.0, 'canon quarto book ruth': 0.4, 'temple judaism book jeremiah': 0.4, 'hebrew bible canonized jewish': 0.4, 'jewish hebrew bible canon': 0.4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-6,boroughs of New York City,0.2556,2,termluster.topn5.3.qld,0.3366,boroughs new york city york unit state borough brooklyn citi borough brooklyn citi york unit state,sensedisambiguation,0.3046,boroughs borough of New raw York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-7,Branches of the US military,0.2154,2,tagmee.topn3.replace,0.5055,Ratt No Justice,wiki.topn3,0.2505,branches us military combat endurance medium transport helicopter regiment     b  vasilek Military branch national guard of thunited states activduty joint chiefs of staff United States Armed Forces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-8,continents in the world,0.1588,3,wiki.topn3.replace,0.33,second yugoslavia history of yugoslavia      disestablishments Socialist Federal Republic of Yugoslavia yugoslavia former monarchies former countries in the balkans Yugoslavia second yugoslavia history of yugoslavia      disestablishments Socialist Federal Republic of Yugoslavia,tagmee.topn3.replace,0.2836,Socialist Federal Republic of Yugoslavia Yugoslavia Socialist Federal Republic of Yugoslavia,bertqe.topn10.qld,0.2146,"{'continents in the world': 1.5, 'continents africa america asia': 1.0, 'four continents africa america asia': 0.9959575543203638, 'antarctica similarentitynames worlds four continents': 0.9828196058615463, 'continents world sorted': 0.9813036887316827, 'zealandia continent greece australasia mediterranean': 0.966144517433047}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-9,degrees of Eastern Orthodox monasticism,0.193,10,stem.paicehusk,0.3223,degr of eastern orthodox monast,stem.porter,0.3223,degre of eastern orthodox monastic,stem.porter2,0.3223,degre of eastern orthodox monastic,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.3222,"{'monastic': 2, 'orthodox': 2, 'eastern': 2, 'of': 2, 'degre': 2, 'var': 2.0, 'null': 1.765, 'js': 1.353, 'documentsearchwidgitsearchtyp': 1.353, 'documentwriteopt': 1.353, 'savedscop': 1.294, 'documentsearchwidgitsortdropdownoptionslength': 1.294, 'savedsearch': 1.294, 'savedtag': 1.235, 'newurl': 1.235, 'sortopt': 1.176}",tagmee.topn3,0.3131,degrees eastern orthodox monasticism Degrees of Eastern Orthodox monasticism Eastern Orthodox Church Eastern Christian monasticism Monasticism,conceptluster.topn5.3.qld,0.3131,degrees eastern orthodox monasticism eastern christian monasticism monasticism eastern orthodox church degrees eastern orthodox monasticism,wiki.topn3,0.27399999999999997,degrees eastern orthodox monasticism klobuk epanokalimavkion epimanikia Degrees of Eastern Orthodox monasticism christianity in the middle east eastern christianity history of eastern orthodoxy Eastern Orthodox Church ecthesis eulogius of alexandria theophanes thbranded Eastern Christian monasticism mary of bethany hagiography syrian christian monks Monasticism,stem.lovins,0.2145,degree of eastern orthodox monast,conceptnet.topn3,0.2,degrees eastern orthodox monasticism temperature confectioners sugar Christian,glove.topn3,0.1937,degrees eastern orthodox monasticism celsius western southeastern christians churches asceticism cenobitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-10,did nicole kidman have any siblings,0.1032,14,wordnet.topn3.replace,0.75,nicole kidman sib,termluster.topn5.3.qld,0.75,nicole kidman siblings kidman nicol,glove.topn3,0.5556,nicole kidman siblings kidman simpson streep nicole daughters cousins,thesaurus.topn3,0.4167,nicole kidman siblings,anchor.topn3,0.4167,nicole kidman siblings,tagmee.topn3,0.4167,nicole kidman siblings Nicole Kidman Sibling,thesaurus.topn3.replace,0.4167,nicole kidman siblings,anchor.topn3.replace,0.4167,nicole kidman siblings,conceptluster.topn5.3.qld,0.4167,nicole kidman siblings sibling nicole kidman,wordnet.topn3,0.3929,nicole kidman siblings sib,tagmee.topn3.replace,0.2189,Zermelo Fraenkel set theory Set theory,wiki.topn3,0.1745,nicole kidman siblings jan sardi aacta international award for best supporting actor justin kurzel Nicole Kidman cousin daughter godparent Sibling,glove.topn3.replace,0.1735,kidman simpson streep nicole daughters cousins,stem.lovins,0.15,did nicol kidman hav any sibl,,,,,,,,,,,,,,,,,,
SemSearch_LS-11,dioceses of the church of ireland,0.5881,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-12,first targets of the atomic bomb,0.17300000000000001,8,stem.trunc4,0.3365,firs targ of the atom bomb,rm3.topn10.10.0.5.qld,0.3054,target atom hiroshima bomb war nuclear aircraft nagasaki weapon test first air,relevancefeedback.topn10.qld,0.2821,first targets of the atomic bomb test film enola nuclear atom,termluster.topn5.3.qld,0.2495,first targets atomic bomb air armi august world war test atom nagasaki war,onfields.topn3.10.1.1.qld,0.2051,"{'the': 2, 'of': 2, 'target': 2, 'first': 2, 'atom': 2, 'bomb': 2, 'hiroshima': 1.595, 'nagasaki': 1.468, 'nuclear': 1.233, 'drop': 1.222, 'test': 1.146, 'weapon': 1.12, 'crossroad': 1.087, 'explos': 1.062, 'bikini': 1.058}",bertqe.topn10.qld,0.1962,"{'first targets of the atomic bomb': 1.5, 'detonated nagasaki first targets': 1.0, 'august 6 1945 first atomic': 0.8646288209606987, 'hiroshima first atomic weapons': 0.834061135371179, 'nagasaki atomic bombing japan': 0.7336244541484715, 'hiroshima first use': 0.6419213973799127}",conceptnet.topn3,0.1867,first targets atomic bomb one second,word2vec.topn3,0.1777,first targets atomic bomb second third last nuclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-13,five great epics of Tamil literature,0.5417,1,tagmee.topn3,0.5642,five great epics tamil literature The Five Great Epics of Tamil Literature Tamil literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-14,gods who dwelt on Mount Olympus,0.2121,11,word2vec.topn3,0.4912,gods dwelt mount olympus deities dwelled dwells resided zeus nikon athena,conceptluster.topn5.3.qld,0.4574,gods dwelt mount olympus greek mythology,wiki.topn3,0.45,gods dwelt mount olympus european mythology ancient greek literature ancient greek religion Greek mythology biosphere reserves of greece visitor attractions in thessaly hera Mount Olympus,tagmee.topn3,0.3781,gods dwelt mount olympus Greek mythology Mount Olympus,rm3.topn10.10.0.5.qld,0.3699,card golden olympu mount zeu greek ag mytholog god holi who dwelt,relevancefeedback.topn10.qld,0.354,gods who dwelt on mount olympus ag god titan holi crete zeu new alexiar card,bertqe.topn10.qld,0.2982,"{'gods who dwelt on Mount Olympus': 1.5, 'mount olympus melpomene list': 1.0, 'gods mount olympus': 0.0, 'demeter hestia mount olympus theomachy': 0.3333333333333333, '12 gods mount olympus': 0.3333333333333333, 'olympus melpomene list mythological': 0.24999999999999992}",word2vec.topn3.replace,0.2903,deities dwelled dwells resided mount zeus nikon athena,termluster.topn5.3.qld,0.2378,gods dwelt mount olympus mount god,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.2294,"{'olympu': 2, 'mount': 2, 'on': 2, 'dwelt': 2, 'who': 2, 'god': 2, 'al': 2.0, '5': 1.892, '00': 1.706, 'eu': 1.384, 'gr': 1.367, '60': 1.354, '1958': 1.317, 'phaethon': 1.188, 'father': 1.131, 'heaven': 1.093, 'chariot': 1.073}",glove.topn3,0.2141,gods dwelt mount olympus deities goddesses dwelled em   mt  mountain bdb   k,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-16,hijackers in the September    attacks,0.7595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-17,houses of the Russian parliament,0.4503,1,termluster.topn5.3.qld,0.4907,houses russian parliament state parliament govern russia parti session hous assembl chairman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-18,john lennon  parents,0.3909,6,conceptnet.topn3,0.8095,john lennon parents a boys name John Lennon lennonish name children name their babies family,bertqe.topn10.qld,0.6818,"{'john lennon parents': 1.5, 'julia lennon parents john jack': 1.0, 'julia lennon mother john': 0.875, 'freddie lennon father john': 0.875, 'parents john dykins julia lennon': 0.625, 'lennon freddie lennon father': 0.5}",onfields.topn3.10.1.1.qld,0.6389,"{'parent': 2, 'john': 2, 'lennon': 2, 'chapman': 1.261, 'liverpool': 1.206, 'alf': 1.193, 'cynthia': 1.155, 'beatl': 1.151, 'spous': 1.109, 'alfr': 1.105, 'powel': 1.105, 'hoylak': 1.046}",relevancefeedback.topn10.qld,0.5556,john lennon  parents lennon smith album julia,glove.topn3,0.4,john lennon parents james rohch mccartney ono grandparents children,rm3.topn10.10.0.5.qld,0.4,dykin parent her david york chapman murder john album liverpool lennon julia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-19,kenya s captain in cricket,0.3006,1,termluster.topn5.3.qld,0.4013,kenya  s captain cricket captain cricket nation cricket kenya nation captain kenya nation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-20,kublai khan siblings,0.1964,8,tagmee.topn3,0.2706,kublai khan siblings Kublai Khan,termluster.topn5.3.qld,0.2706,kublai khan siblings khan kublai,conceptluster.topn5.3.qld,0.2706,kublai khan siblings kublai khan,onfields.topn3.10.1.1.qld,0.2649,"{'sibl': 2, 'khan': 2, 'kublai': 2, 'mongol': 1.564, 'polo': 1.366, 'yuan': 1.331, '1294': 1.203, 'genghi': 1.174, 'niccol': 1.157, 'qubilai': 1.134, 'shizu': 1.116, 'khubilai': 1.087}",rm3.topn10.10.0.5.qld,0.2586,mongol war kublai yuan dynasti genghi ariq sibl empir khan polo,glove.topn3,0.2532,kublai khan siblings möngke hulagu wuhr mohammad daughters cousins,bertqe.topn10.qld,0.2512,"{'kublai khan siblings': 1.5, 'kublai khan ariq b': 1.0, 'line kublai khan ariq': 0.9090909090909092, 'b li kublai khan ku': 0.7575757575757576, 'brother kublai khan': 0.7575757575757576, 'khan khodan khan 1206': 0.39393939393939403}",tagmee.topn3.replace,0.1968,Python  programming language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-21,lilly allen parents,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-22,major leagues in the united states,0.1897,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-24,matt berry tv series,0.4376,5,tagmee.topn3,0.6076,matt berry tv series Matt Berry Television program,conceptluster.topn5.3.qld,0.6076,matt berry tv series television program matt berry,bertqe.topn10.qld,0.4909,"{'matt berry tv series': 1.5, 'matt berry isat starring matt': 1.0, 'berry isat starring matt berry': 0.9615384615384615, 'starring matt berry mighty': 0.923076923076923, 'creator matt berry charlie hanson': 0.4615384615384615, 'berry replacing ronnie corbettin series': 0.423076923076923}",sensedisambiguation,0.4499,matt flatness berry tv television receiver series,termluster.topn5.3.qld,0.4423,matt berry tv series berri seri televis televis seri matt televis matt episod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-25,members of u,0.0,5,rm3.topn10.10.0.5.qld,0.1176,member length award mullen u  band album record rock group song,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.0637,"{'u2': 2, 'of': 2, 'member': 2, 'cc': 2.0, 'file': 1.234, 'iu2people4coremakecinclud': 1.163, 'remark': 1.161, 'cc3201': 1.112, 'usrincludeccstlcodecvth': 1.095, 'usrpeople4coremakegccbinc': 1.082, 'iu2people4coremakecincludectool': 1.082, 'iu2people4coremakecbuildinc': 1.082, 'gmake2': 1.06, 'gmake1': 1.06}",onfields.topn3.10.1.1.qld,0.0184,"{'u2': 2, 'of': 2, 'member': 2, 'u': 2.0, 'q': 1.096, 'madra': 1.065, 'rama': 1.062, 'syst': 1.053, 'posthardcor': 1.037, 'dischord': 1.037, 'borlik': 1.034, 'rau': 1.031, 'dancepunk': 1.031, 'rungi': 1.025}",wiki.topn3.replace,0.0011,syracuse nationals cleveland cavaliers washington wizards Philadelphia   ers,wiki.topn3,0.0001,members u  my lifstory norfolk coast  album       band  The Members coldplay irish alternative rock groups depechmode U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-26,movies starring erykah badu,0.3827,6,stem.lovins,0.5895,mov star erykah badu,tagmee.topn3.replace,0.5822,MedImmune MedImmune,onfields.topn3.10.1.1.qld,0.4516,"{'star': 2, 'movi': 2, 'erykah': 2, 'badu': 2, 'erica': 1.783, 'wright': 1.243, 'bag': 1.226, 'hous': 1.217, 'releas': 1.183, 'abi': 1.174, 'univers': 1.122, 'kedar': 1.104, 'duchovni': 1.0}",glove.topn3,0.4399,movies starring erykah badu films co starring badu zehs erykah zehs,conceptnet.topn3,0.4208,movies starring erykah badu prima leading,termluster.topn5.3.qld,0.3979,movies starring erykah badu badu produc perform erykah produc perform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-29,nations where Portuguese is an official language,0.3069,6,rm3.topn10.10.0.5.qld,0.4655,languag where commun angola portuguesespeak african nation chines flag portugues brazilian english offici,onfields.topn3.10.1.1.qld,0.3905,"{'an': 2, 'is': 2, 'where': 2, 'nation': 2, 'ngua': 2.0, 'offici': 2, 'languag': 2, 'portugues': 2, 'portuguesespeak': 1.112, 'cplp': 1.095, 'portuguesa': 1.062, 'comunidad': 1.062, 'lusophon': 1.049, 'organis': 1.033, 'intergovernment': 1.03}",thesaurus.topn3,0.3779,nations portuguese official language,anchor.topn3,0.3779,nations portuguese official language,thesaurus.topn3.replace,0.3779,nations portuguese official language,anchor.topn3.replace,0.3779,nations portuguese official language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-30,orders  or  choirs   of angels,0.0311,5,onfields.topn3.10.1.1.qld,0.1508,"{'of': 2, 'or': 2, 'order': 2, 'choir': 2, 'angel': 2, 'christian': 1.234, 'hierarchi': 1.1, 'pseudodionysiu': 1.08, 'choru': 1.065, 'celesti': 1.065, 'lacc': 1.065, 'areopagit': 1.045, 'coelesti': 1.045, 'hierarchia': 1.045}",termluster.topn5.3.qld,0.0547,orders  choirs angels choir,tagmee.topn3,0.0403,orders  choirs angels Holy orders Choir Angel,conceptluster.topn5.3.qld,0.0403,orders  choirs angels holy orders choir angel,tagmee.topn3.replace,0.0368,Airline Boeing     Airplane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-31,permanent members of the UN Security Council,0.4967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-32,presidents depicted on mount rushmore who died of shooting,0.2351,8,word2vec.topn3,0.2647,presidents depicted mount rushmore died shooting portrayed perished killed shot,sensedisambiguation,0.2407,presidents president of the united states depicted portray on mount saddle horse rushmore who died fail of shooting photograph,thesaurus.topn3,0.2384,presidents depicted mount rushmore died shooting,anchor.topn3,0.2384,presidents depicted mount rushmore died shooting,thesaurus.topn3.replace,0.2384,presidents depicted mount rushmore died shooting,anchor.topn3.replace,0.2384,presidents depicted mount rushmore died shooting,stem.krovetz,0.2365,president depict on mount rushmore who die of shoot,stem.porter2,0.2365,presid depict on mount rushmor who die of shoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-33,provinces and territories of Canada,0.4037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-34,ratt albums,0.6441,6,rm3.topn10.10.0.5.qld,0.7593,ratt length metal compil album pearci video record writer song,onfields.topn3.10.1.1.qld,0.7496,"{'album': 2, 'ratt': 2, 'compil': 1.331, 'collag': 1.18, 'glam': 1.144, 'releas': 1.115, 'demartini': 1.101, '8191': 1.065, 'invas': 1.065, 'allmus': 1.058, 'pearci': 1.0}",termluster.topn5.3.qld,0.7049,ratt albums album glam metal titl song record,tagmee.topn3,0.6785,ratt albums Ratt No Justice,conceptluster.topn5.3.qld,0.6785,ratt albums ratt justice,bertqe.topn10.qld,0.6452,{'ratt albums':1.5},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemSearch_LS-35,republics of the former Yugoslavia,0.3281,5,conceptluster.topn5.3.qld,0.3976,republics former yugoslavia socialist federal republic yugoslavia,sensedisambiguation,0.3748,republics republic of the former Yugoslavia,termluster.topn5.3.qld,0.3707,republics former yugoslavia yugoslavia yugoslav war countri feder intern countri feder former,wiki.topn3,0.3616,republics former yugoslavia second yugoslavia history of yugoslavia      disestablishments Socialist Federal Republic of Yugoslavia yugoslavia former monarchies former countries in the balkans Yugoslavia second yugoslavia history of yugoslavia      disestablishments Socialist Federal Republic of Yugoslavia,tagmee.topn3,0.3492,republics former yugoslavia Socialist Federal Republic of Yugoslavia Yugoslavia Socialist Federal Republic of Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
